date_key,week_id,period_id,quarter_id,year,fiscal_year_label,week_start_date,week_end_date,is_holiday_week,season
202442,42,11,4,2024,FY24,2024-11-11,2024-11-17,0,Q4-Holiday
202443,43,11,4,2024,FY24,2024-11-18,2024-11-24,0,Q4-Holiday
202444,44,11,4,2024,FY24,2024-11-25,2024-12-01,0,Q4-Holiday
202445,45,12,4,2024,FY24,2024-12-02,2024-12-08,0,Q4-Holiday
202446,46,12,4,2024,FY24,2024-12-09,2024-12-15,0,Q4-Holiday
202447,47,12,4,2024,FY24,2024-12-16,2024-12-22,1,Q4-Holiday
202448,48,12,4,2024,FY24,2024-12-23,2024-12-29,1,Q4-Holiday
202449,49,13,4,2024,FY24,2024-12-30,2025-01-05,0,Q4-Holiday
202450,50,13,4,2024,FY24,2025-01-06,2025-01-12,0,Q4-Holiday
202451,51,13,4,2024,FY24,2025-01-13,2025-01-19,0,Q4-Holiday
202452,52,13,4,2024,FY24,2025-01-20,2025-01-26,1,Q4-Holiday
202501,1,1,1,2025,FY25,2025-01-29,2025-02-04,1,Q1-Winter
202502,2,1,1,2025,FY25,2025-02-05,2025-02-11,0,Q1-Winter
202503,3,1,1,2025,FY25,2025-02-12,2025-02-18,0,Q1-Winter
202504,4,1,1,2025,FY25,2025-02-19,2025-02-25,0,Q1-Winter
202505,5,2,1,2025,FY25,2025-02-26,2025-03-04,0,Q1-Winter
202506,6,2,1,2025,FY25,2025-03-05,2025-03-11,0,Q1-Winter
202507,7,2,1,2025,FY25,2025-03-12,2025-03-18,0,Q1-Winter
202508,8,2,1,2025,FY25,2025-03-19,2025-03-25,0,Q1-Winter
202509,9,3,1,2025,FY25,2025-03-26,2025-04-01,0,Q1-Winter
202510,10,3,1,2025,FY25,2025-04-02,2025-04-08,0,Q1-Winter
202511,11,3,1,2025,FY25,2025-04-09,2025-04-15,0,Q1-Winter
202512,12,3,1,2025,FY25,2025-04-16,2025-04-22,0,Q1-Winter
202513,13,4,2,2025,FY25,2025-04-23,2025-04-29,1,Q2-Spring
202514,14,4,2,2025,FY25,2025-04-30,2025-05-06,0,Q2-Spring
202515,15,4,2,2025,FY25,2025-05-07,2025-05-13,0,Q2-Spring
202516,16,4,2,2025,FY25,2025-05-14,2025-05-20,0,Q2-Spring
202517,17,5,2,2025,FY25,2025-05-21,2025-05-27,1,Q2-Spring
202518,18,5,2,2025,FY25,2025-05-28,2025-06-03,0,Q2-Spring
202519,19,5,2,2025,FY25,2025-06-04,2025-06-10,0,Q2-Spring
202520,20,5,2,2025,FY25,2025-06-11,2025-06-17,0,Q2-Spring
202521,21,6,2,2025,FY25,2025-06-18,2025-06-24,0,Q2-Spring
202522,22,6,2,2025,FY25,2025-06-25,2025-07-01,0,Q2-Spring
202523,23,6,2,2025,FY25,2025-07-02,2025-07-08,0,Q2-Spring
202524,24,6,2,2025,FY25,2025-07-09,2025-07-15,0,Q2-Spring
202525,25,7,3,2025,FY25,2025-07-16,2025-07-22,0,Q3-Summer
202526,26,7,3,2025,FY25,2025-07-23,2025-07-29,1,Q3-Summer
202527,27,7,3,2025,FY25,2025-07-30,2025-08-05,0,Q3-Summer
202528,28,7,3,2025,FY25,2025-08-06,2025-08-12,0,Q3-Summer
202529,29,8,3,2025,FY25,2025-08-13,2025-08-19,0,Q3-Summer
202530,30,8,3,2025,FY25,2025-08-20,2025-08-26,0,Q3-Summer
202531,31,8,3,2025,FY25,2025-08-27,2025-09-02,0,Q3-Summer
202532,32,8,3,2025,FY25,2025-09-03,2025-09-09,0,Q3-Summer
202533,33,9,3,2025,FY25,2025-09-10,2025-09-16,0,Q3-Summer
202534,34,9,3,2025,FY25,2025-09-17,2025-09-23,0,Q3-Summer
202535,35,9,3,2025,FY25,2025-09-24,2025-09-30,0,Q3-Summer
202536,36,9,3,2025,FY25,2025-10-01,2025-10-07,0,Q3-Summer
202537,37,10,4,2025,FY25,2025-10-08,2025-10-14,0,Q4-Holiday
202538,38,10,4,2025,FY25,2025-10-15,2025-10-21,0,Q4-Holiday
202539,39,10,4,2025,FY25,2025-10-22,2025-10-28,1,Q4-Holiday
202540,40,10,4,2025,FY25,2025-10-29,2025-11-04,0,Q4-Holiday
202541,41,11,4,2025,FY25,2025-11-05,2025-11-11,0,Q4-Holiday
202542,42,11,4,2025,FY25,2025-11-12,2025-11-18,0,Q4-Holiday
202543,43,11,4,2025,FY25,2025-11-19,2025-11-25,0,Q4-Holiday
202544,44,11,4,2025,FY25,2025-11-26,2025-12-02,0,Q4-Holiday
202545,45,12,4,2025,FY25,2025-12-03,2025-12-09,0,Q4-Holiday
202546,46,12,4,2025,FY25,2025-12-10,2025-12-16,0,Q4-Holiday
202547,47,12,4,2025,FY25,2025-12-17,2025-12-23,1,Q4-Holiday
202548,48,12,4,2025,FY25,2025-12-24,2025-12-30,1,Q4-Holiday
202549,49,13,4,2025,FY25,2025-12-31,2026-01-06,0,Q4-Holiday
202550,50,13,4,2025,FY25,2026-01-07,2026-01-13,0,Q4-Holiday
202551,51,13,4,2025,FY25,2026-01-14,2026-01-20,0,Q4-Holiday
202552,52,13,4,2025,FY25,2026-01-21,2026-01-27,1,Q4-Holiday
