week_id,item_id,promo_mechanism_id_ty,promo_mechanism_id_ly,is_promo_ty,is_promo_ly,promo_price_ty,promo_price_ly,estimated_base_units,estimated_promo_units,incremental_units,promo_lift_pct,supplier_funding_rate,est_trade_spend,roi_estimate,overlap_feature_display
26,1001,0,1,0,1,12.97,11.67,8820,8820,0,0.0,0.0,0.0,0.0,0
27,1001,3,0,1,0,12.97,12.97,9000,11250,2250,25.0,0.05,7295.62,1.12,0
28,1001,0,0,0,0,12.97,12.97,9180,9180,0,0.0,0.0,0.0,0.0,0
29,1001,3,0,1,0,12.97,12.97,9450,11812,2362,25.0,0.05,7660.08,1.12,0
30,1001,0,1,0,1,12.97,11.67,9720,9720,0,0.0,0.0,0.0,0.0,0
31,1001,0,0,0,0,12.97,12.97,9900,9900,0,0.0,0.0,0.0,0.0,0
32,1001,0,0,0,0,12.97,12.97,10080,10080,0,0.0,0.0,0.0,0.0,0
33,1001,0,0,0,0,12.97,12.97,9900,9900,0,0.0,0.0,0.0,0.0,0
34,1001,0,0,0,0,12.97,12.97,9720,9720,0,0.0,0.0,0.0,0.0,0
35,1001,1,4,1,1,11.67,12.97,9450,10868,1418,15.0,0.1,14095.8,0.365,0
36,1001,2,0,1,0,11.67,12.97,9180,11934,2754,30.0,0.0,0.0,10001.426,0
37,1001,0,0,0,0,12.97,12.97,9000,9000,0,0.0,0.0,0.0,0.0,0
38,1001,0,4,0,1,12.97,12.97,8820,8820,0,0.0,0.0,0.0,0.0,0
39,1001,0,4,0,1,12.97,12.97,8730,8730,0,0.0,0.0,0.0,0.0,0
40,1001,3,0,1,0,12.97,12.97,8640,10800,2160,25.0,0.05,7003.8,1.12,0
41,1001,0,0,0,0,12.97,12.97,8820,8820,0,0.0,0.0,0.0,0.0,0
42,1001,0,0,0,0,12.97,12.97,9000,9000,0,0.0,0.0,0.0,0.0,0
43,1001,0,3,0,1,12.97,12.97,9180,9180,0,0.0,0.0,0.0,0.0,0
44,1001,0,1,0,1,12.97,11.67,9450,9450,0,0.0,0.0,0.0,0.0,0
45,1001,0,3,0,1,12.97,12.97,9900,9900,0,0.0,0.0,0.0,0.0,0
46,1001,4,0,1,0,12.97,12.97,10350,11592,1242,12.0,0.03,4510.45,1.0,0
47,1001,3,0,1,0,12.97,12.97,10800,13500,2700,25.0,0.05,8754.75,1.12,1
48,1001,0,0,0,0,12.97,12.97,10620,10620,0,0.0,0.0,0.0,0.0,0
49,1001,0,0,0,0,12.97,12.97,10350,10350,0,0.0,0.0,0.0,0.0,0
50,1001,3,0,1,0,12.97,12.97,9900,12375,2475,25.0,0.05,8025.19,1.12,0
51,1001,0,0,0,0,12.97,12.97,9720,9720,0,0.0,0.0,0.0,0.0,0
52,1001,0,0,0,0,12.97,12.97,9450,9450,0,0.0,0.0,0.0,0.0,0
1,1002,0,0,0,0,6.97,6.97,6300,6300,0,0.0,0.0,0.0,0.0,0
2,1002,0,1,0,1,6.97,6.27,6000,6000,0,0.0,0.0,0.0,0.0,0
3,1002,0,2,0,1,6.97,6.27,5880,5880,0,0.0,0.0,0.0,0.0,0
4,1002,0,0,0,0,6.97,6.97,5700,5700,0,0.0,0.0,0.0,0.0,0
5,1002,0,0,0,0,6.97,6.97,5580,5580,0,0.0,0.0,0.0,0.0,0
6,1002,0,0,0,0,6.97,6.97,5520,5520,0,0.0,0.0,0.0,0.0,0
7,1002,4,3,1,1,6.97,6.97,5640,6317,677,12.0,0.03,1320.88,1.0,0
8,1002,1,3,1,1,6.27,6.97,5760,6624,864,15.0,0.1,4616.93,0.365,0
9,1002,0,0,0,0,6.97,6.97,5880,5880,0,0.0,0.0,0.0,0.0,0
10,1002,1,0,1,0,6.27,6.97,6000,6900,900,15.0,0.1,4809.3,0.365,0
11,1002,0,2,0,1,6.97,6.27,6120,6120,0,0.0,0.0,0.0,0.0,0
12,1002,0,0,0,0,6.97,6.97,6300,6300,0,0.0,0.0,0.0,0.0,0
13,1002,0,0,0,0,6.97,6.97,6480,6480,0,0.0,0.0,0.0,0.0,0
14,1002,0,0,0,0,6.97,6.97,6600,6600,0,0.0,0.0,0.0,0.0,0
15,1002,0,0,0,0,6.97,6.97,6720,6720,0,0.0,0.0,0.0,0.0,0
16,1002,0,0,0,0,6.97,6.97,6600,6600,0,0.0,0.0,0.0,0.0,0
17,1002,0,0,0,0,6.97,6.97,6480,6480,0,0.0,0.0,0.0,0.0,0
18,1002,0,0,0,0,6.97,6.97,6300,6300,0,0.0,0.0,0.0,0.0,0
19,1002,0,0,0,0,6.97,6.97,6180,6180,0,0.0,0.0,0.0,0.0,0
20,1002,1,0,1,0,6.27,6.97,6000,6900,900,15.0,0.1,4809.3,0.365,0
21,1002,0,2,0,1,6.97,6.27,5820,5820,0,0.0,0.0,0.0,0.0,0
22,1002,0,0,0,0,6.97,6.97,5700,5700,0,0.0,0.0,0.0,0.0,0
23,1002,0,0,0,0,6.97,6.97,5580,5580,0,0.0,0.0,0.0,0.0,0
24,1002,1,0,1,0,6.27,6.97,5520,6348,828,15.0,0.1,4424.56,0.365,0
25,1002,0,0,0,0,6.97,6.97,5700,5700,0,0.0,0.0,0.0,0.0,0
26,1002,2,0,1,0,6.27,6.97,5880,7644,1764,30.0,0.0,0.0,3442.622,0
27,1002,0,0,0,0,6.97,6.97,6000,6000,0,0.0,0.0,0.0,0.0,0
28,1002,0,0,0,0,6.97,6.97,6120,6120,0,0.0,0.0,0.0,0.0,0
29,1002,0,0,0,0,6.97,6.97,6300,6300,0,0.0,0.0,0.0,0.0,0
30,1002,0,0,0,0,6.97,6.97,6480,6480,0,0.0,0.0,0.0,0.0,0
31,1002,0,0,0,0,6.97,6.97,6600,6600,0,0.0,0.0,0.0,0.0,0
32,1002,0,3,0,1,6.97,6.97,6720,6720,0,0.0,0.0,0.0,0.0,0
33,1002,1,0,1,0,6.27,6.97,6600,7590,990,15.0,0.1,5290.23,0.365,0
34,1002,0,0,0,0,6.97,6.97,6480,6480,0,0.0,0.0,0.0,0.0,0
35,1002,0,2,0,1,6.97,6.27,6300,6300,0,0.0,0.0,0.0,0.0,0
36,1002,0,0,0,0,6.97,6.97,6120,6120,0,0.0,0.0,0.0,0.0,0
37,1002,3,0,1,0,6.97,6.97,6000,7500,1500,25.0,0.05,2613.75,1.12,0
38,1002,0,1,0,1,6.97,6.27,5880,5880,0,0.0,0.0,0.0,0.0,0
39,1002,0,0,0,0,6.97,6.97,5820,5820,0,0.0,0.0,0.0,0.0,0
40,1002,0,0,0,0,6.97,6.97,5760,5760,0,0.0,0.0,0.0,0.0,0
41,1002,2,3,1,1,6.27,6.97,5880,7644,1764,30.0,0.0,0.0,3442.622,0
42,1002,0,0,0,0,6.97,6.97,6000,6000,0,0.0,0.0,0.0,0.0,0
43,1002,0,0,0,0,6.97,6.97,6120,6120,0,0.0,0.0,0.0,0.0,0
44,1002,0,1,0,1,6.97,6.27,6300,6300,0,0.0,0.0,0.0,0.0,0
45,1002,0,0,0,0,6.97,6.97,6600,6600,0,0.0,0.0,0.0,0.0,0
46,1002,0,0,0,0,6.97,6.97,6900,6900,0,0.0,0.0,0.0,0.0,0
47,1002,0,3,0,1,6.97,6.97,7200,7200,0,0.0,0.0,0.0,0.0,0
48,1002,0,1,0,1,6.97,6.27,7080,7080,0,0.0,0.0,0.0,0.0,0
49,1002,4,0,1,0,6.97,6.97,6900,7728,828,12.0,0.03,1615.92,1.0,0
50,1002,0,0,0,0,6.97,6.97,6600,6600,0,0.0,0.0,0.0,0.0,0
51,1002,0,0,0,0,6.97,6.97,6480,6480,0,0.0,0.0,0.0,0.0,0
52,1002,0,0,0,0,6.97,6.97,6300,6300,0,0.0,0.0,0.0,0.0,0
1,1003,0,0,0,0,8.97,8.97,4275,4275,0,0.0,0.0,0.0,0.0,0
2,1003,2,0,1,0,8.07,8.97,4365,5674,1309,30.0,0.0,0.0,3287.684,0
3,1003,3,0,1,0,8.97,8.97,4500,5625,1125,25.0,0.05,2522.81,1.12,0
4,1003,0,0,0,0,8.97,8.97,4590,4590,0,0.0,0.0,0.0,0.0,0
5,1003,3,0,1,0,8.97,8.97,4725,5906,1181,25.0,0.05,2648.84,1.12,0
6,1003,0,0,0,0,8.97,8.97,4860,4860,0,0.0,0.0,0.0,0.0,0
7,1003,4,0,1,0,8.97,8.97,4950,5544,594,12.0,0.03,1491.89,1.0,0
8,1003,0,0,0,0,8.97,8.97,5040,5040,0,0.0,0.0,0.0,0.0,0
9,1003,0,0,0,0,8.97,8.97,4950,4950,0,0.0,0.0,0.0,0.0,0
10,1003,1,3,1,1,8.07,8.97,4860,5589,729,15.0,0.1,5013.33,0.365,0
11,1003,0,3,0,1,8.97,8.97,4725,4725,0,0.0,0.0,0.0,0.0,0
12,1003,0,2,0,1,8.97,8.07,4590,4590,0,0.0,0.0,0.0,0.0,0
13,1003,0,0,0,0,8.97,8.97,4500,4500,0,0.0,0.0,0.0,0.0,0
14,1003,1,0,1,0,8.07,8.97,4410,5072,662,15.0,0.1,4549.58,0.365,0
15,1003,1,0,1,0,8.07,8.97,4365,5020,655,15.0,0.1,4502.94,0.365,0
16,1003,0,0,0,0,8.97,8.97,4410,4410,0,0.0,0.0,0.0,0.0,0
17,1003,0,0,0,0,8.97,8.97,4500,4500,0,0.0,0.0,0.0,0.0,0
18,1003,0,0,0,0,8.97,8.97,4590,4590,0,0.0,0.0,0.0,0.0,0
19,1003,0,0,0,0,8.97,8.97,4725,4725,0,0.0,0.0,0.0,0.0,0
20,1003,4,1,1,1,8.97,8.07,4860,5443,583,12.0,0.03,1464.71,1.0,0
21,1003,0,0,0,0,8.97,8.97,5040,5040,0,0.0,0.0,0.0,0.0,0
22,1003,0,0,0,0,8.97,8.97,5175,5175,0,0.0,0.0,0.0,0.0,0
23,1003,3,0,1,0,8.97,8.97,5310,6638,1328,25.0,0.05,2977.14,1.12,0
24,1003,0,1,0,1,8.97,8.07,5400,5400,0,0.0,0.0,0.0,0.0,0
25,1003,0,0,0,0,8.97,8.97,5310,5310,0,0.0,0.0,0.0,0.0,0
26,1003,0,0,0,0,8.97,8.97,5175,5175,0,0.0,0.0,0.0,0.0,0
27,1003,0,0,0,0,8.97,8.97,5040,5040,0,0.0,0.0,0.0,0.0,0
28,1003,0,0,0,0,8.97,8.97,4860,4860,0,0.0,0.0,0.0,0.0,0
29,1003,0,0,0,0,8.97,8.97,4725,4725,0,0.0,0.0,0.0,0.0,0
30,1003,0,0,0,0,8.97,8.97,4590,4590,0,0.0,0.0,0.0,0.0,0
31,1003,0,0,0,0,8.97,8.97,4500,4500,0,0.0,0.0,0.0,0.0,0
32,1003,3,0,1,0,8.97,8.97,4410,5512,1102,25.0,0.05,2472.13,1.12,0
33,1003,0,4,0,1,8.97,8.97,4320,4320,0,0.0,0.0,0.0,0.0,0
34,1003,0,0,0,0,8.97,8.97,4275,4275,0,0.0,0.0,0.0,0.0,0
35,1003,0,0,0,0,8.97,8.97,4230,4230,0,0.0,0.0,0.0,0.0,0
36,1003,0,0,0,0,8.97,8.97,4275,4275,0,0.0,0.0,0.0,0.0,0
37,1003,0,0,0,0,8.97,8.97,4365,4365,0,0.0,0.0,0.0,0.0,0
38,1003,1,0,1,0,8.07,8.97,4500,5175,675,15.0,0.1,4641.98,0.365,0
39,1003,1,0,1,0,8.07,8.97,4590,5278,688,15.0,0.1,4734.37,0.365,0
40,1003,0,1,0,1,8.97,8.07,4725,4725,0,0.0,0.0,0.0,0.0,0
41,1003,0,0,0,0,8.97,8.97,4860,4860,0,0.0,0.0,0.0,0.0,0
42,1003,0,0,0,0,8.97,8.97,4950,4950,0,0.0,0.0,0.0,0.0,0
43,1003,0,0,0,0,8.97,8.97,5040,5040,0,0.0,0.0,0.0,0.0,0
44,1003,0,0,0,0,8.97,8.97,4950,4950,0,0.0,0.0,0.0,0.0,0
45,1003,0,0,0,0,8.97,8.97,4860,4860,0,0.0,0.0,0.0,0.0,0
46,1003,1,1,1,1,8.07,8.07,4725,5434,709,15.0,0.1,4874.3,0.365,0
47,1003,0,0,0,0,8.97,8.97,4590,4590,0,0.0,0.0,0.0,0.0,0
48,1003,0,4,0,1,8.97,8.97,4725,4725,0,0.0,0.0,0.0,0.0,0
49,1003,0,0,0,0,8.97,8.97,4860,4860,0,0.0,0.0,0.0,0.0,0
50,1003,4,0,1,0,8.97,8.97,4725,5292,567,12.0,0.03,1424.08,1.0,0
51,1003,0,0,0,0,8.97,8.97,4590,4590,0,0.0,0.0,0.0,0.0,0
52,1003,0,3,0,1,8.97,8.97,4500,4500,0,0.0,0.0,0.0,0.0,0
1,1004,0,0,0,0,7.97,7.97,3325,3325,0,0.0,0.0,0.0,0.0,0
2,1004,0,0,0,0,7.97,7.97,3395,3395,0,0.0,0.0,0.0,0.0,0
3,1004,0,3,0,1,7.97,7.97,3500,3500,0,0.0,0.0,0.0,0.0,0
4,1004,0,0,0,0,7.97,7.97,3570,3570,0,0.0,0.0,0.0,0.0,0
5,1004,0,3,0,1,7.97,7.97,3675,3675,0,0.0,0.0,0.0,0.0,0
6,1004,0,1,0,1,7.97,7.17,3780,3780,0,0.0,0.0,0.0,0.0,0
7,1004,3,0,1,0,7.97,7.97,3850,4812,962,25.0,0.05,1917.58,1.12,0
8,1004,4,0,1,0,7.97,7.97,3920,4390,470,12.0,0.03,1049.65,0.999,0
9,1004,0,0,0,0,7.97,7.97,3850,3850,0,0.0,0.0,0.0,0.0,0
10,1004,0,0,0,0,7.97,7.97,3780,3780,0,0.0,0.0,0.0,0.0,0
11,1004,0,0,0,0,7.97,7.97,3675,3675,0,0.0,0.0,0.0,0.0,0
12,1004,0,4,0,1,7.97,7.97,3570,3570,0,0.0,0.0,0.0,0.0,0
13,1004,0,0,0,0,7.97,7.97,3500,3500,0,0.0,0.0,0.0,0.0,0
14,1004,0,0,0,0,7.97,7.97,3430,3430,0,0.0,0.0,0.0,0.0,0
15,1004,3,4,1,1,7.97,7.97,3395,4244,849,25.0,0.05,1691.23,1.12,0
16,1004,0,2,0,1,7.97,7.17,3430,3430,0,0.0,0.0,0.0,0.0,0
17,1004,0,0,0,0,7.97,7.97,3500,3500,0,0.0,0.0,0.0,0.0,0
18,1004,0,0,0,0,7.97,7.97,3570,3570,0,0.0,0.0,0.0,0.0,0
19,1004,2,0,1,0,7.17,7.97,3675,4778,1103,30.0,0.0,0.0,2461.455,0
20,1004,1,0,1,0,7.17,7.97,3780,4347,567,15.0,0.1,3464.56,0.365,0
21,1004,0,0,0,0,7.97,7.97,3920,3920,0,0.0,0.0,0.0,0.0,0
22,1004,3,0,1,0,7.97,7.97,4025,5031,1006,25.0,0.05,2004.85,1.12,0
23,1004,0,0,0,0,7.97,7.97,4130,4130,0,0.0,0.0,0.0,0.0,0
24,1004,0,0,0,0,7.97,7.97,4200,4200,0,0.0,0.0,0.0,0.0,0
25,1004,0,3,0,1,7.97,7.97,4130,4130,0,0.0,0.0,0.0,0.0,0
26,1004,0,4,0,1,7.97,7.97,4025,4025,0,0.0,0.0,0.0,0.0,0
27,1004,1,0,1,0,7.17,7.97,3920,4508,588,15.0,0.1,3592.88,0.365,0
28,1004,1,0,1,0,7.17,7.97,3780,4347,567,15.0,0.1,3464.56,0.365,0
29,1004,0,0,0,0,7.97,7.97,3675,3675,0,0.0,0.0,0.0,0.0,0
30,1004,0,0,0,0,7.97,7.97,3570,3570,0,0.0,0.0,0.0,0.0,0
31,1004,3,0,1,0,7.97,7.97,3500,4375,875,25.0,0.05,1743.44,1.12,0
32,1004,0,0,0,0,7.97,7.97,3430,3430,0,0.0,0.0,0.0,0.0,0
33,1004,4,0,1,0,7.97,7.97,3360,3763,403,12.0,0.03,899.73,1.0,0
34,1004,2,2,1,1,7.17,7.17,3325,4322,997,30.0,0.0,0.0,2224.905,0
35,1004,0,0,0,0,7.97,7.97,3290,3290,0,0.0,0.0,0.0,0.0,0
36,1004,0,0,0,0,7.97,7.97,3325,3325,0,0.0,0.0,0.0,0.0,0
37,1004,0,0,0,0,7.97,7.97,3395,3395,0,0.0,0.0,0.0,0.0,0
38,1004,1,1,1,1,7.17,7.17,3500,4025,525,15.0,0.1,3207.93,0.365,0
39,1004,0,0,0,0,7.97,7.97,3570,3570,0,0.0,0.0,0.0,0.0,0
40,1004,0,0,0,0,7.97,7.97,3675,3675,0,0.0,0.0,0.0,0.0,0
41,1004,0,0,0,0,7.97,7.97,3780,3780,0,0.0,0.0,0.0,0.0,0
42,1004,0,0,0,0,7.97,7.97,3850,3850,0,0.0,0.0,0.0,0.0,0
43,1004,0,0,0,0,7.97,7.97,3920,3920,0,0.0,0.0,0.0,0.0,0
44,1004,0,0,0,0,7.97,7.97,3850,3850,0,0.0,0.0,0.0,0.0,0
45,1004,0,0,0,0,7.97,7.97,3780,3780,0,0.0,0.0,0.0,0.0,0
46,1004,0,1,0,1,7.97,7.17,3675,3675,0,0.0,0.0,0.0,0.0,0
47,1004,1,0,1,0,7.17,7.97,3570,4106,536,15.0,0.1,3272.48,0.366,0
48,1004,3,0,1,0,7.97,7.97,3675,4594,919,25.0,0.05,1830.71,1.12,0
49,1004,0,0,0,0,7.97,7.97,3780,3780,0,0.0,0.0,0.0,0.0,0
50,1004,0,0,0,0,7.97,7.97,3675,3675,0,0.0,0.0,0.0,0.0,0
51,1004,4,0,1,0,7.97,7.97,3570,3998,428,12.0,0.03,955.92,0.999,0
52,1004,0,0,0,0,7.97,7.97,3500,3500,0,0.0,0.0,0.0,0.0,0
1,1005,0,0,0,0,5.97,5.97,2375,2375,0,0.0,0.0,0.0,0.0,0
2,1005,0,0,0,0,5.97,5.97,2425,2425,0,0.0,0.0,0.0,0.0,0
3,1005,0,0,0,0,5.97,5.97,2500,2500,0,0.0,0.0,0.0,0.0,0
4,1005,0,0,0,0,5.97,5.97,2550,2550,0,0.0,0.0,0.0,0.0,0
5,1005,1,0,1,0,5.37,5.97,2625,3019,394,15.0,0.1,1802.34,0.365,0
6,1005,0,1,0,1,5.97,5.37,2700,2700,0,0.0,0.0,0.0,0.0,0
7,1005,0,0,0,0,5.97,5.97,2750,2750,0,0.0,0.0,0.0,0.0,0
8,1005,0,0,0,0,5.97,5.97,2800,2800,0,0.0,0.0,0.0,0.0,0
9,1005,1,1,1,1,5.37,5.37,2750,3162,412,15.0,0.1,1887.71,0.365,0
10,1005,0,0,0,0,5.97,5.97,2700,2700,0,0.0,0.0,0.0,0.0,0
11,1005,2,0,1,0,5.37,5.97,2625,3412,787,30.0,0.0,0.0,1315.549,0
12,1005,1,0,1,0,5.37,5.97,2550,2932,382,15.0,0.1,1750.4,0.365,0
13,1005,1,0,1,0,5.37,5.97,2500,2875,375,15.0,0.1,1716.38,0.365,0
14,1005,0,0,0,0,5.97,5.97,2450,2450,0,0.0,0.0,0.0,0.0,0
15,1005,0,3,0,1,5.97,5.97,2425,2425,0,0.0,0.0,0.0,0.0,0
16,1005,0,0,0,0,5.97,5.97,2450,2450,0,0.0,0.0,0.0,0.0,0
17,1005,1,0,1,0,5.37,5.97,2500,2875,375,15.0,0.1,1716.38,0.365,0
18,1005,0,0,0,0,5.97,5.97,2550,2550,0,0.0,0.0,0.0,0.0,0
19,1005,0,0,0,0,5.97,5.97,2625,2625,0,0.0,0.0,0.0,0.0,0
20,1005,0,0,0,0,5.97,5.97,2700,2700,0,0.0,0.0,0.0,0.0,0
21,1005,0,0,0,0,5.97,5.97,2800,2800,0,0.0,0.0,0.0,0.0,0
22,1005,2,0,1,0,5.37,5.97,2875,3738,863,30.0,0.0,0.0,1442.591,0
23,1005,0,2,0,1,5.97,5.37,2950,2950,0,0.0,0.0,0.0,0.0,0
24,1005,0,0,0,0,5.97,5.97,3000,3000,0,0.0,0.0,0.0,0.0,0
25,1005,0,1,0,1,5.97,5.37,2950,2950,0,0.0,0.0,0.0,0.0,0
26,1005,2,0,1,0,5.37,5.97,2875,3738,863,30.0,0.0,0.0,1442.591,0
27,1005,0,0,0,0,5.97,5.97,2800,2800,0,0.0,0.0,0.0,0.0,0
28,1005,3,0,1,0,5.97,5.97,2700,3375,675,25.0,0.05,1007.44,1.12,0
29,1005,0,0,0,0,5.97,5.97,2625,2625,0,0.0,0.0,0.0,0.0,0
30,1005,2,1,1,1,5.37,5.37,2550,3315,765,30.0,0.0,0.0,1278.774,0
31,1005,2,0,1,0,5.37,5.97,2500,3250,750,30.0,0.0,0.0,1253.7,0
32,1005,0,0,0,0,5.97,5.97,2450,2450,0,0.0,0.0,0.0,0.0,0
33,1005,0,0,0,0,5.97,5.97,2400,2400,0,0.0,0.0,0.0,0.0,0
34,1005,0,0,0,0,5.97,5.97,2375,2375,0,0.0,0.0,0.0,0.0,0
35,1005,0,2,0,1,5.97,5.37,2350,2350,0,0.0,0.0,0.0,0.0,0
36,1005,0,0,0,0,5.97,5.97,2375,2375,0,0.0,0.0,0.0,0.0,0
37,1005,0,0,0,0,5.97,5.97,2425,2425,0,0.0,0.0,0.0,0.0,0
38,1005,0,1,0,1,5.97,5.37,2500,2500,0,0.0,0.0,0.0,0.0,0
39,1005,0,0,0,0,5.97,5.97,2550,2550,0,0.0,0.0,0.0,0.0,0
40,1005,0,1,0,1,5.97,5.37,2625,2625,0,0.0,0.0,0.0,0.0,0
41,1005,1,0,1,0,5.37,5.97,2700,3105,405,15.0,0.1,1853.68,0.365,0
42,1005,0,0,0,0,5.97,5.97,2750,2750,0,0.0,0.0,0.0,0.0,0
43,1005,0,1,0,1,5.97,5.37,2800,2800,0,0.0,0.0,0.0,0.0,0
44,1005,0,0,0,0,5.97,5.97,2750,2750,0,0.0,0.0,0.0,0.0,0
45,1005,3,0,1,0,5.97,5.97,2700,3375,675,25.0,0.05,1007.44,1.12,0
46,1005,0,0,0,0,5.97,5.97,2625,2625,0,0.0,0.0,0.0,0.0,0
47,1005,0,0,0,0,5.97,5.97,2550,2550,0,0.0,0.0,0.0,0.0,0
48,1005,4,0,1,0,5.97,5.97,2625,2940,315,12.0,0.03,526.55,1.0,0
49,1005,0,1,0,1,5.97,5.37,2700,2700,0,0.0,0.0,0.0,0.0,0
50,1005,3,4,1,1,5.97,5.97,2625,3281,656,25.0,0.05,979.38,1.12,0
51,1005,0,0,0,0,5.97,5.97,2550,2550,0,0.0,0.0,0.0,0.0,0
52,1005,0,0,0,0,5.97,5.97,2500,2500,0,0.0,0.0,0.0,0.0,0
1,1006,0,0,0,0,14.97,14.97,9000,9000,0,0.0,0.0,0.0,0.0,0
2,1006,0,0,0,0,14.97,14.97,8800,8800,0,0.0,0.0,0.0,0.0,0
3,1006,0,0,0,0,14.97,14.97,8700,8700,0,0.0,0.0,0.0,0.0,0
4,1006,0,0,0,0,14.97,14.97,8800,8800,0,0.0,0.0,0.0,0.0,0
5,1006,0,2,0,1,14.97,13.47,9000,9000,0,0.0,0.0,0.0,0.0,0
6,1006,0,0,0,0,14.97,14.97,9200,9200,0,0.0,0.0,0.0,0.0,0
7,1006,0,0,0,0,14.97,14.97,9500,9500,0,0.0,0.0,0.0,0.0,0
8,1006,0,0,0,0,14.97,14.97,9800,9800,0,0.0,0.0,0.0,0.0,0
9,1006,0,0,0,0,14.97,14.97,10000,10000,0,0.0,0.0,0.0,0.0,0
10,1006,0,1,0,1,14.97,13.47,10200,10200,0,0.0,0.0,0.0,0.0,0
11,1006,3,0,1,0,14.97,14.97,10500,13125,2625,25.0,0.05,9824.06,1.12,0
12,1006,0,1,0,1,14.97,13.47,10800,10800,0,0.0,0.0,0.0,0.0,0
13,1006,0,0,0,0,14.97,14.97,11000,11000,0,0.0,0.0,0.0,0.0,0
14,1006,3,0,1,0,14.97,14.97,11200,14000,2800,25.0,0.05,10479.0,1.12,0
15,1006,1,0,1,0,13.47,14.97,11500,13225,1725,15.0,0.1,19797.83,0.365,0
16,1006,0,0,0,0,14.97,14.97,11800,11800,0,0.0,0.0,0.0,0.0,0
17,1006,4,3,1,1,14.97,14.97,12000,13440,1440,12.0,0.03,6035.9,1.0,1
18,1006,0,0,0,0,14.97,14.97,12200,12200,0,0.0,0.0,0.0,0.0,0
19,1006,2,0,1,0,13.47,14.97,12500,16250,3750,30.0,0.0,0.0,15718.5,0
20,1006,0,0,0,0,14.97,14.97,12800,12800,0,0.0,0.0,0.0,0.0,0
21,1006,0,1,0,1,14.97,13.47,13000,13000,0,0.0,0.0,0.0,0.0,0
22,1006,0,0,0,0,14.97,14.97,12800,12800,0,0.0,0.0,0.0,0.0,0
23,1006,0,0,0,0,14.97,14.97,12500,12500,0,0.0,0.0,0.0,0.0,0
24,1006,0,0,0,0,14.97,14.97,12200,12200,0,0.0,0.0,0.0,0.0,0
25,1006,0,0,0,0,14.97,14.97,12000,12000,0,0.0,0.0,0.0,0.0,0
26,1006,0,0,0,0,14.97,14.97,11800,11800,0,0.0,0.0,0.0,0.0,0
27,1006,0,3,0,1,14.97,14.97,11500,11500,0,0.0,0.0,0.0,0.0,0
28,1006,0,0,0,0,14.97,14.97,11200,11200,0,0.0,0.0,0.0,0.0,0
29,1006,3,0,1,0,14.97,14.97,11000,13750,2750,25.0,0.05,10291.88,1.12,0
30,1006,0,0,0,0,14.97,14.97,10800,10800,0,0.0,0.0,0.0,0.0,0
