week_id,store_id,item_id,on_hand_units_bop,receipt_units,sold_units,on_hand_units_eop,lost_sales_units,demand_forecast_units,weeks_of_supply,days_of_supply,in_stock_flag,fill_rate,lead_time_days,reorder_point_units,case_pack_qty
29,211,1001,205,496,201,500,0,201,2.49,7.1,1,1.0,5,180,4
30,211,1001,500,0,165,335,0,165,2.03,21.2,1,1.0,5,148,4
31,211,1001,335,0,168,167,0,168,0.99,14.0,1,1.0,5,152,4
32,211,1001,167,408,167,408,4,171,2.39,6.8,1,0.9766,5,152,4
33,211,1001,408,0,168,240,0,168,1.43,17.0,1,1.0,5,152,4
34,211,1001,240,0,165,75,0,165,0.45,10.2,1,1.0,5,148,4
35,211,1001,75,420,75,420,110,185,2.27,2.8,0,0.4054,5,164,4
36,211,1001,420,0,203,217,0,203,1.07,14.5,1,1.0,5,180,4
37,211,1001,217,0,153,64,0,153,0.42,9.9,1,1.0,5,136,4
38,211,1001,64,256,64,256,86,150,1.71,3.0,0,0.4267,5,132,4
39,211,1001,256,0,148,108,0,148,0.73,12.1,1,1.0,5,132,4
40,211,1001,108,360,108,360,76,184,1.96,4.1,1,0.587,5,164,4
41,211,1001,360,0,150,210,0,150,1.4,16.8,1,1.0,5,132,4
42,211,1001,210,0,153,57,0,153,0.37,9.6,1,1.0,5,136,4
43,211,1001,57,240,57,240,99,156,1.54,2.6,0,0.3654,5,140,4
44,211,1001,240,0,161,79,0,161,0.49,10.4,1,1.0,5,144,4
45,211,1001,79,276,79,276,89,168,1.64,3.3,0,0.4702,5,152,4
46,211,1001,276,0,197,79,0,197,0.4,9.8,1,1.0,5,176,4
47,211,1001,79,504,79,504,151,230,2.19,2.4,0,0.3435,5,204,4
48,211,1001,504,0,181,323,0,181,1.78,19.5,1,1.0,5,160,4
49,211,1001,323,0,176,147,0,176,0.84,12.8,1,1.0,5,156,4
50,211,1001,147,472,147,472,63,210,2.25,4.9,1,0.7,5,188,4
51,211,1001,472,0,165,307,0,165,1.86,20.0,1,1.0,5,148,4
52,211,1001,307,0,161,146,0,161,0.91,13.3,1,1.0,5,144,4
1,520,1001,368,0,123,245,0,123,1.99,20.9,1,1.0,5,108,4
2,520,1001,245,0,117,128,0,117,1.09,14.7,1,1.0,5,104,4
3,520,1001,128,260,128,260,15,143,1.82,6.3,1,0.8951,5,128,4
4,520,1001,260,0,111,149,0,111,1.34,16.4,1,1.0,5,100,4
5,520,1001,149,232,125,256,0,125,2.05,8.3,1,1.0,5,112,4
6,520,1001,256,0,108,148,0,108,1.37,16.6,1,1.0,5,96,4
7,520,1001,148,268,137,279,0,137,2.04,7.6,1,1.0,5,124,4
8,520,1001,279,0,112,167,0,112,1.49,17.4,1,1.0,5,100,4
9,520,1001,167,0,115,52,0,115,0.45,10.2,1,1.0,5,104,4
10,520,1001,52,196,52,196,65,117,1.68,3.1,0,0.4444,5,104,4
11,520,1001,196,0,137,59,0,137,0.43,10.0,1,1.0,5,124,4
12,520,1001,59,200,59,200,64,123,1.63,3.4,0,0.4797,5,108,4
13,520,1001,200,0,126,74,0,126,0.59,11.1,1,1.0,5,112,4
14,520,1001,74,256,74,256,55,129,1.98,4.0,1,0.5736,5,116,4
15,520,1001,256,0,164,92,0,164,0.56,10.9,1,1.0,5,148,4
16,520,1001,92,224,92,224,37,129,1.74,5.0,1,0.7132,5,116,4
17,520,1001,224,0,126,98,0,126,0.78,12.4,1,1.0,5,112,4
18,520,1001,98,268,98,268,25,123,2.18,5.6,1,0.7967,5,108,4
19,520,1001,268,0,121,147,0,121,1.21,15.5,1,1.0,5,108,4
20,520,1001,147,0,117,30,0,117,0.26,8.8,1,1.0,5,104,4
21,520,1001,30,220,30,220,83,113,1.95,1.9,0,0.2655,5,100,4
22,520,1001,220,0,111,109,0,111,0.98,13.9,1,1.0,5,100,4
23,520,1001,109,256,109,256,0,109,2.35,7.0,1,1.0,5,96,4
24,520,1001,256,0,108,148,0,108,1.37,16.6,1,1.0,5,96,4
25,520,1001,148,0,111,37,0,111,0.33,9.3,1,1.0,5,100,4
26,520,1001,37,252,37,252,78,115,2.19,2.3,0,0.3217,5,104,4
27,520,1001,252,0,146,106,0,146,0.73,12.1,1,1.0,5,132,4
28,520,1001,106,216,106,216,13,119,1.82,6.2,1,0.8908,5,108,4
29,520,1001,216,0,154,62,0,154,0.4,9.8,1,1.0,5,136,4
30,520,1001,62,292,62,292,64,126,2.32,3.4,0,0.4921,5,112,4
31,520,1001,292,0,129,163,0,129,1.26,15.8,1,1.0,5,116,4
32,520,1001,163,0,131,32,0,131,0.24,8.7,1,1.0,5,116,4
33,520,1001,32,296,32,296,97,129,2.29,1.7,0,0.2481,5,116,4
34,520,1001,296,0,126,170,0,126,1.35,16.4,1,1.0,5,112,4
35,520,1001,170,0,141,29,0,141,0.21,8.4,1,1.0,5,124,4
36,520,1001,29,292,29,292,126,155,1.88,1.3,0,0.1871,5,140,4
37,520,1001,292,0,117,175,0,117,1.5,17.5,1,1.0,5,104,4
38,520,1001,175,0,115,60,0,115,0.52,10.7,1,1.0,5,104,4
39,520,1001,60,204,60,204,53,113,1.81,3.7,1,0.531,5,100,4
40,520,1001,204,0,140,64,0,140,0.46,10.2,1,1.0,5,124,4
41,520,1001,64,252,64,252,51,115,2.19,3.9,1,0.5565,5,104,4
42,520,1001,252,0,117,135,0,117,1.15,15.1,1,1.0,5,104,4
43,520,1001,135,196,119,212,0,119,1.78,7.9,1,1.0,5,108,4
44,520,1001,212,0,123,89,0,123,0.72,12.1,1,1.0,5,108,4
45,520,1001,89,220,89,220,40,129,1.71,4.8,1,0.6899,5,116,4
46,520,1001,220,0,151,69,0,151,0.46,10.2,1,1.0,5,136,4
47,520,1001,69,264,69,264,107,176,1.5,2.7,0,0.392,5,156,4
48,520,1001,264,0,138,126,0,138,0.91,13.4,1,1.0,5,124,4
49,520,1001,126,308,126,308,9,135,2.28,6.5,1,0.9333,5,120,4
50,520,1001,308,0,161,147,0,161,0.91,13.4,1,1.0,5,144,4
51,520,1001,147,272,126,293,0,126,2.33,8.2,1,1.0,5,112,4
52,520,1001,293,0,123,170,0,123,1.38,16.7,1,1.0,5,108,4
1,666,1001,552,0,208,344,0,208,1.65,18.6,1,1.0,5,184,4
2,666,1001,344,0,198,146,0,198,0.74,12.2,1,1.0,5,176,4
3,666,1001,146,556,146,556,97,243,2.29,4.2,1,0.6008,5,216,4
4,666,1001,556,0,188,368,0,188,1.96,20.7,1,1.0,5,168,4
5,666,1001,368,0,212,156,0,212,0.74,12.2,1,1.0,5,188,4
6,666,1001,156,356,156,356,26,182,1.96,6.0,1,0.8571,5,164,4
7,666,1001,356,0,233,123,0,233,0.53,10.7,1,1.0,5,208,4
8,666,1001,123,392,123,392,67,190,2.06,4.5,1,0.6474,5,168,4
9,666,1001,392,0,194,198,0,194,1.02,14.1,1,1.0,5,172,4
10,666,1001,198,324,198,324,0,198,1.64,7.0,1,1.0,5,176,4
11,666,1001,324,0,232,92,0,232,0.4,9.8,1,1.0,5,208,4
12,666,1001,92,336,92,336,116,208,1.62,3.1,0,0.4423,5,184,4
13,666,1001,336,0,214,122,0,214,0.57,11.0,1,1.0,5,192,4
14,666,1001,122,472,122,472,96,218,2.17,3.9,1,0.5596,5,196,4
15,666,1001,472,0,277,195,0,277,0.7,11.9,1,1.0,5,248,4
16,666,1001,195,428,195,428,23,218,1.96,6.3,1,0.8945,5,196,4
17,666,1001,428,0,214,214,0,214,1.0,14.0,1,1.0,5,192,4
18,666,1001,214,428,208,434,0,208,2.09,7.2,1,1.0,5,184,4
19,666,1001,434,0,204,230,0,204,1.13,14.9,1,1.0,5,184,4
20,666,1001,230,448,198,480,0,198,2.42,8.1,1,1.0,5,176,4
21,666,1001,480,0,192,288,0,192,1.5,17.5,1,1.0,5,172,4
22,666,1001,288,0,188,100,0,188,0.53,10.7,1,1.0,5,168,4
23,666,1001,100,392,100,392,84,184,2.13,3.8,1,0.5435,5,164,4
24,666,1001,392,0,182,210,0,182,1.15,15.1,1,1.0,5,164,4
25,666,1001,210,388,188,410,0,188,2.18,7.8,1,1.0,5,168,4
26,666,1001,410,0,194,216,0,194,1.11,14.8,1,1.0,5,172,4
27,666,1001,216,512,216,512,32,248,2.06,6.1,1,0.871,5,220,4
28,666,1001,512,0,202,310,0,202,1.53,17.7,1,1.0,5,180,4
29,666,1001,310,468,260,518,0,260,1.99,8.3,1,1.0,5,232,4
30,666,1001,518,0,214,304,0,214,1.42,16.9,1,1.0,5,192,4
31,666,1001,304,0,218,86,0,218,0.39,9.8,1,1.0,5,196,4
32,666,1001,86,340,86,340,136,222,1.53,2.7,0,0.3874,5,200,4
33,666,1001,340,0,218,122,0,218,0.56,10.9,1,1.0,5,196,4
34,666,1001,122,416,122,416,92,214,1.94,4.0,1,0.5701,5,192,4
35,666,1001,416,0,239,177,0,239,0.74,12.2,1,1.0,5,212,4
36,666,1001,177,452,177,452,86,263,1.72,4.7,1,0.673,5,236,4
37,666,1001,452,0,198,254,0,198,1.28,16.0,1,1.0,5,176,4
38,666,1001,254,0,194,60,0,194,0.31,9.2,1,1.0,5,172,4
39,666,1001,60,368,60,368,132,192,1.92,2.2,0,0.3125,5,172,4
40,666,1001,368,0,238,130,0,238,0.55,10.8,1,1.0,5,212,4
41,666,1001,130,456,130,456,64,194,2.35,4.7,1,0.6701,5,172,4
42,666,1001,456,0,198,258,0,198,1.3,16.1,1,1.0,5,176,4
43,666,1001,258,0,202,56,0,202,0.28,8.9,1,1.0,5,180,4
44,666,1001,56,360,56,360,152,208,1.73,1.9,0,0.2692,5,184,4
45,666,1001,360,0,218,142,0,218,0.65,11.6,1,1.0,5,196,4
46,666,1001,142,396,142,396,113,255,1.55,3.9,1,0.5569,5,228,4
47,666,1001,396,0,297,99,0,297,0.33,9.3,1,1.0,5,264,4
48,666,1001,99,416,99,416,135,234,1.78,3.0,0,0.4231,5,208,4
49,666,1001,416,0,228,188,0,228,0.82,12.8,1,1.0,5,204,4
50,666,1001,188,488,188,488,84,272,1.79,4.8,1,0.6912,5,244,4
51,666,1001,488,0,214,274,0,214,1.28,16.0,1,1.0,5,192,4
52,666,1001,274,0,208,66,0,208,0.32,9.2,1,1.0,5,184,4
1,178,1001,584,0,225,359,0,225,1.6,18.2,1,1.0,5,200,4
2,178,1001,359,0,214,145,0,214,0.68,11.7,1,1.0,5,192,4
3,178,1001,145,540,145,540,117,262,2.06,3.9,1,0.5534,5,232,4
4,178,1001,540,0,203,337,0,203,1.66,18.6,1,1.0,5,180,4
5,178,1001,337,0,229,108,0,229,0.47,10.3,1,1.0,5,204,4
6,178,1001,108,448,108,448,89,197,2.27,3.8,1,0.5482,5,176,4
7,178,1001,448,0,252,196,0,252,0.78,12.4,1,1.0,5,224,4
8,178,1001,196,444,196,444,10,206,2.16,6.7,1,0.9515,5,184,4
9,178,1001,444,0,210,234,0,210,1.11,14.8,1,1.0,5,188,4
10,178,1001,234,408,214,428,0,214,2.0,7.7,1,1.0,5,192,4
11,178,1001,428,0,251,177,0,251,0.71,11.9,1,1.0,5,224,4
12,178,1001,177,520,177,520,48,225,2.31,5.5,1,0.7867,5,200,4
13,178,1001,520,0,231,289,0,231,1.25,15.8,1,1.0,5,208,4
14,178,1001,289,0,236,53,0,236,0.22,8.6,1,1.0,5,212,4
15,178,1001,53,500,53,500,247,300,1.67,1.2,0,0.1767,5,268,4
16,178,1001,500,0,236,264,0,236,1.12,14.8,1,1.0,5,212,4
17,178,1001,264,352,231,385,0,231,1.67,8.0,1,1.0,5,208,4
18,178,1001,385,0,225,160,0,225,0.71,12.0,1,1.0,5,200,4
19,178,1001,160,352,160,352,61,221,1.59,5.1,1,0.724,5,196,4
20,178,1001,352,0,214,138,0,214,0.64,11.5,1,1.0,5,192,4
21,178,1001,138,464,138,464,70,208,2.23,4.6,1,0.6635,5,184,4
22,178,1001,464,0,203,261,0,203,1.29,16.0,1,1.0,5,180,4
23,178,1001,261,0,199,62,0,199,0.31,9.2,1,1.0,5,176,4
24,178,1001,62,388,62,388,135,197,1.97,2.2,0,0.3147,5,176,4
25,178,1001,388,0,203,185,0,203,0.91,13.4,1,1.0,5,180,4
26,178,1001,185,348,185,348,25,210,1.66,6.2,1,0.881,5,188,4
27,178,1001,348,0,268,80,0,268,0.3,9.1,1,1.0,5,240,4
28,178,1001,80,436,80,436,138,218,2.0,2.6,0,0.367,5,196,4
29,178,1001,436,0,281,155,0,281,0.55,10.9,1,1.0,5,252,4
30,178,1001,155,380,155,380,76,231,1.65,4.7,1,0.671,5,208,4
31,178,1001,380,0,236,144,0,236,0.61,11.3,1,1.0,5,212,4
32,178,1001,144,528,144,528,96,240,2.2,4.2,1,0.6,5,216,4
33,178,1001,528,0,236,292,0,236,1.24,15.7,1,1.0,5,212,4
34,178,1001,292,0,231,61,0,231,0.26,8.8,1,1.0,5,208,4
35,178,1001,61,504,61,504,198,259,1.95,1.6,0,0.2355,5,232,4
36,178,1001,504,0,284,220,0,284,0.77,12.4,1,1.0,5,252,4
37,178,1001,220,404,214,410,0,214,1.92,7.2,1,1.0,5,192,4
38,178,1001,410,0,210,200,0,210,0.95,13.7,1,1.0,5,188,4
39,178,1001,200,376,200,376,8,208,1.81,6.7,1,0.9615,5,184,4
40,178,1001,376,0,257,119,0,257,0.46,10.2,1,1.0,5,228,4
41,178,1001,119,448,119,448,91,210,2.13,4.0,1,0.5667,5,188,4
42,178,1001,448,0,214,234,0,214,1.09,14.7,1,1.0,5,192,4
43,178,1001,234,404,218,420,0,218,1.93,7.5,1,1.0,5,196,4
44,178,1001,420,0,225,195,0,225,0.87,13.1,1,1.0,5,200,4
45,178,1001,195,376,195,376,41,236,1.59,5.8,1,0.8263,5,212,4
46,178,1001,376,0,276,100,0,276,0.36,9.5,1,1.0,5,248,4
47,178,1001,100,520,100,520,221,321,1.62,2.2,0,0.3115,5,288,4
48,178,1001,520,0,253,267,0,253,1.06,14.4,1,1.0,5,224,4
49,178,1001,267,604,246,625,0,246,2.54,7.6,1,1.0,5,220,4
50,178,1001,625,0,295,330,0,295,1.12,14.8,1,1.0,5,264,4
51,178,1001,330,0,231,99,0,231,0.43,10.0,1,1.0,5,208,4
52,178,1001,99,540,99,540,126,225,2.4,3.1,0,0.44,5,200,4
1,282,1001,772,0,291,481,0,291,1.65,18.6,1,1.0,5,260,4
2,282,1001,481,0,277,204,0,277,0.74,12.2,1,1.0,5,248,4
3,282,1001,204,600,204,600,136,340,1.76,4.2,1,0.6,5,304,4
4,282,1001,600,0,263,337,0,263,1.28,16.0,1,1.0,5,236,4
5,282,1001,337,732,296,773,0,296,2.61,8.0,1,1.0,5,264,4
6,282,1001,773,0,255,518,0,255,2.03,21.2,1,1.0,5,228,4
7,282,1001,518,0,326,192,0,326,0.59,11.1,1,1.0,5,292,4
8,282,1001,192,608,192,608,74,266,2.29,5.1,1,0.7218,5,236,4
9,282,1001,608,0,272,336,0,272,1.24,15.6,1,1.0,5,244,4
10,282,1001,336,0,277,59,0,277,0.21,8.5,1,1.0,5,248,4
11,282,1001,59,720,59,720,266,325,2.22,1.3,0,0.1815,5,292,4
12,282,1001,720,0,291,429,0,291,1.47,17.3,1,1.0,5,260,4
13,282,1001,429,0,299,130,0,299,0.43,10.0,1,1.0,5,268,4
14,282,1001,130,596,130,596,175,305,1.95,3.0,0,0.4262,5,272,4
15,282,1001,596,0,388,208,0,388,0.54,10.8,1,1.0,5,348,4
16,282,1001,208,540,208,540,97,305,1.77,4.8,1,0.682,5,272,4
17,282,1001,540,0,299,241,0,299,0.81,12.6,1,1.0,5,268,4
18,282,1001,241,464,241,464,50,291,1.59,5.8,1,0.8282,5,260,4
19,282,1001,464,0,286,178,0,286,0.62,11.4,1,1.0,5,256,4
20,282,1001,178,664,178,664,99,277,2.4,4.5,1,0.6426,5,248,4
21,282,1001,664,0,269,395,0,269,1.47,17.3,1,1.0,5,240,4
22,282,1001,395,0,263,132,0,263,0.5,10.5,1,1.0,5,236,4
23,282,1001,132,504,132,504,126,258,1.95,3.6,1,0.5116,5,232,4
24,282,1001,504,0,255,249,0,255,0.98,13.8,1,1.0,5,228,4
25,282,1001,249,448,249,448,14,263,1.7,6.6,1,0.9468,5,236,4
26,282,1001,448,0,272,176,0,272,0.65,11.5,1,1.0,5,244,4
27,282,1001,176,624,176,624,170,346,1.8,3.6,1,0.5087,5,308,4
28,282,1001,624,0,283,341,0,283,1.2,15.4,1,1.0,5,252,4
29,282,1001,341,756,341,756,23,364,2.08,6.6,1,0.9368,5,324,4
30,282,1001,756,0,299,457,0,299,1.53,17.7,1,1.0,5,268,4
31,282,1001,457,0,305,152,0,305,0.5,10.5,1,1.0,5,272,4
32,282,1001,152,520,152,520,158,310,1.68,3.4,0,0.4903,5,276,4
33,282,1001,520,0,305,215,0,305,0.7,11.9,1,1.0,5,272,4
34,282,1001,215,704,215,704,84,299,2.35,5.0,1,0.7191,5,268,4
35,282,1001,704,0,335,369,0,335,1.1,14.7,1,1.0,5,300,4
36,282,1001,369,832,368,833,0,368,2.26,7.0,1,1.0,5,328,4
37,282,1001,833,0,277,556,0,277,2.01,21.1,1,1.0,5,248,4
38,282,1001,556,0,272,284,0,272,1.04,14.3,1,1.0,5,244,4
39,282,1001,284,596,269,611,0,269,2.27,7.4,1,1.0,5,240,4
40,282,1001,611,0,333,278,0,333,0.83,12.8,1,1.0,5,296,4
41,282,1001,278,524,272,530,0,272,1.95,7.2,1,1.0,5,244,4
42,282,1001,530,0,277,253,0,277,0.91,13.4,1,1.0,5,248,4
43,282,1001,253,604,253,604,30,283,2.13,6.3,1,0.894,5,252,4
44,282,1001,604,0,291,313,0,291,1.08,14.5,1,1.0,5,260,4
45,282,1001,313,636,305,644,0,305,2.11,7.2,1,1.0,5,272,4
46,282,1001,644,0,357,287,0,357,0.8,12.6,1,1.0,5,320,4
47,282,1001,287,896,287,896,129,416,2.15,4.8,1,0.6899,5,372,4
48,282,1001,896,0,327,569,0,327,1.74,19.2,1,1.0,5,292,4
49,282,1001,569,0,319,250,0,319,0.78,12.5,1,1.0,5,284,4
50,282,1001,250,604,250,604,131,381,1.59,4.6,1,0.6562,5,340,4
51,282,1001,604,0,299,305,0,299,1.02,14.1,1,1.0,5,268,4
52,282,1001,305,556,291,570,0,291,1.96,7.3,1,1.0,5,260,4
1,385,1001,284,0,161,123,0,161,0.76,12.3,1,1.0,5,144,4
2,385,1001,123,304,123,304,30,153,1.99,5.6,1,0.8039,5,136,4
3,385,1001,304,0,187,117,0,187,0.63,11.4,1,1.0,5,168,4
4,385,1001,117,264,117,264,28,145,1.82,5.6,1,0.8069,5,128,4
5,385,1001,264,0,164,100,0,164,0.61,11.3,1,1.0,5,148,4
6,385,1001,100,232,100,232,41,141,1.65,5.0,1,0.7092,5,124,4
7,385,1001,232,0,180,52,0,180,0.29,9.0,1,1.0,5,160,4
8,385,1001,52,236,52,236,95,147,1.61,2.5,0,0.3537,5,132,4
9,385,1001,236,0,150,86,0,150,0.57,11.0,1,1.0,5,132,4
10,385,1001,86,320,86,320,67,153,2.09,3.9,1,0.5621,5,136,4
11,385,1001,320,0,179,141,0,179,0.79,12.5,1,1.0,5,160,4
12,385,1001,141,268,141,268,20,161,1.66,6.1,1,0.8758,5,144,4
13,385,1001,268,0,165,103,0,165,0.62,11.4,1,1.0,5,148,4
14,385,1001,103,408,103,408,65,168,2.43,4.3,1,0.6131,5,152,4
15,385,1001,408,0,214,194,0,214,0.91,13.3,1,1.0,5,192,4
16,385,1001,194,348,168,374,0,168,2.23,8.1,1,1.0,5,152,4
17,385,1001,374,0,165,209,0,165,1.27,15.9,1,1.0,5,148,4
18,385,1001,209,0,161,48,0,161,0.3,9.1,1,1.0,5,144,4
19,385,1001,48,292,48,292,110,158,1.85,2.1,0,0.3038,5,140,4
20,385,1001,292,0,153,139,0,153,0.91,13.4,1,1.0,5,136,4
21,385,1001,139,308,139,308,9,148,2.08,6.6,1,0.9392,5,132,4
22,385,1001,308,0,145,163,0,145,1.12,14.9,1,1.0,5,128,4
23,385,1001,163,216,142,237,0,142,1.67,8.0,1,1.0,5,128,4
24,385,1001,237,0,141,96,0,141,0.68,11.8,1,1.0,5,124,4
25,385,1001,96,356,96,356,49,145,2.46,4.6,1,0.6621,5,128,4
26,385,1001,356,0,150,206,0,150,1.37,16.6,1,1.0,5,132,4
27,385,1001,206,380,191,395,0,191,2.07,7.5,1,1.0,5,172,4
28,385,1001,395,0,156,239,0,156,1.53,17.7,1,1.0,5,140,4
29,385,1001,239,460,201,498,0,201,2.48,8.3,1,1.0,5,180,4
30,385,1001,498,0,165,333,0,165,2.02,21.1,1,1.0,5,148,4
31,385,1001,333,0,168,165,0,168,0.98,13.9,1,1.0,5,152,4
32,385,1001,165,272,165,272,6,171,1.59,6.8,1,0.9649,5,152,4
33,385,1001,272,0,168,104,0,168,0.62,11.3,1,1.0,5,152,4
34,385,1001,104,328,104,328,61,165,1.99,4.4,1,0.6303,5,148,4
35,385,1001,328,0,185,143,0,185,0.77,12.4,1,1.0,5,164,4
36,385,1001,143,404,143,404,60,203,1.99,4.9,1,0.7044,5,180,4
37,385,1001,404,0,153,251,0,153,1.64,18.5,1,1.0,5,136,4
38,385,1001,251,0,150,101,0,150,0.67,11.7,1,1.0,5,132,4
39,385,1001,101,360,101,360,47,148,2.43,4.8,1,0.6824,5,132,4
40,385,1001,360,0,184,176,0,184,0.96,13.7,1,1.0,5,164,4
41,385,1001,176,312,150,338,0,150,2.25,8.2,1,1.0,5,132,4
42,385,1001,338,0,153,185,0,153,1.21,15.5,1,1.0,5,136,4
43,385,1001,185,308,156,337,0,156,2.16,8.3,1,1.0,5,140,4
44,385,1001,337,0,161,176,0,161,1.09,14.7,1,1.0,5,144,4
45,385,1001,176,296,168,304,0,168,1.81,7.3,1,1.0,5,152,4
46,385,1001,304,0,197,107,0,197,0.54,10.8,1,1.0,5,176,4
47,385,1001,107,420,107,420,123,230,1.83,3.3,0,0.4652,5,204,4
48,385,1001,420,0,181,239,0,181,1.32,16.2,1,1.0,5,160,4
49,385,1001,239,0,176,63,0,176,0.36,9.5,1,1.0,5,156,4
50,385,1001,63,424,63,424,147,210,2.02,2.1,0,0.3,5,188,4
51,385,1001,424,0,165,259,0,165,1.57,18.0,1,1.0,5,148,4
52,385,1001,259,0,161,98,0,161,0.61,11.3,1,1.0,5,144,4
1,111,1001,516,0,225,291,0,225,1.29,16.1,1,1.0,5,200,4
2,111,1001,291,0,214,77,0,214,0.36,9.5,1,1.0,5,192,4
3,111,1001,77,400,77,400,185,262,1.53,2.1,0,0.2939,5,232,4
4,111,1001,400,0,203,197,0,203,0.97,13.8,1,1.0,5,180,4
5,111,1001,197,532,197,532,32,229,2.32,6.0,1,0.8603,5,204,4
6,111,1001,532,0,197,335,0,197,1.7,18.9,1,1.0,5,176,4
7,111,1001,335,0,252,83,0,252,0.33,9.3,1,1.0,5,224,4
8,111,1001,83,492,83,492,123,206,2.39,2.8,0,0.4029,5,184,4
9,111,1001,492,0,210,282,0,210,1.34,16.4,1,1.0,5,188,4
10,111,1001,282,0,214,68,0,214,0.32,9.2,1,1.0,5,192,4
11,111,1001,68,412,68,412,183,251,1.64,1.9,0,0.2709,5,224,4
12,111,1001,412,0,225,187,0,225,0.83,12.8,1,1.0,5,200,4
13,111,1001,187,476,187,476,44,231,2.06,5.7,1,0.8095,5,208,4
14,111,1001,476,0,236,240,0,236,1.02,14.1,1,1.0,5,212,4
15,111,1001,240,484,240,484,60,300,1.61,5.6,1,0.8,5,268,4
16,111,1001,484,0,236,248,0,236,1.05,14.4,1,1.0,5,212,4
17,111,1001,248,500,231,517,0,231,2.24,7.5,1,1.0,5,208,4
18,111,1001,517,0,225,292,0,225,1.3,16.1,1,1.0,5,200,4
19,111,1001,292,0,221,71,0,221,0.32,9.2,1,1.0,5,196,4
20,111,1001,71,380,71,380,143,214,1.78,2.3,0,0.3318,5,192,4
21,111,1001,380,0,208,172,0,208,0.83,12.8,1,1.0,5,184,4
22,111,1001,172,440,172,440,31,203,2.17,5.9,1,0.8473,5,180,4
23,111,1001,440,0,199,241,0,199,1.21,15.5,1,1.0,5,176,4
24,111,1001,241,0,197,44,0,197,0.22,8.6,1,1.0,5,176,4
25,111,1001,44,452,44,452,159,203,2.23,1.5,0,0.2167,5,180,4
26,111,1001,452,0,210,242,0,210,1.15,15.1,1,1.0,5,188,4
27,111,1001,242,608,242,608,26,268,2.27,6.3,1,0.903,5,240,4
28,111,1001,608,0,218,390,0,218,1.79,19.5,1,1.0,5,196,4
29,111,1001,390,0,281,109,0,281,0.39,9.7,1,1.0,5,252,4
30,111,1001,109,372,109,372,122,231,1.61,3.3,0,0.4719,5,208,4
31,111,1001,372,0,236,136,0,236,0.58,11.0,1,1.0,5,212,4
32,111,1001,136,580,136,580,104,240,2.42,4.0,1,0.5667,5,216,4
33,111,1001,580,0,236,344,0,236,1.46,17.2,1,1.0,5,212,4
34,111,1001,344,0,231,113,0,231,0.49,10.4,1,1.0,5,208,4
35,111,1001,113,448,113,448,146,259,1.73,3.1,0,0.4363,5,232,4
36,111,1001,448,0,284,164,0,284,0.58,11.0,1,1.0,5,252,4
37,111,1001,164,328,164,328,50,214,1.53,5.4,1,0.7664,5,192,4
38,111,1001,328,0,210,118,0,210,0.56,10.9,1,1.0,5,188,4
