store_id,store_number,region,state,store_format,market_number,urbanicity,market_cluster,volume_tier,comp_store_flag,avg_weekly_footfall,distribution_center
172,172,South,TN,Neighborhood Market,130,Rural,E,High,0,18640,DC_South
173,173,South,AL,Supercenter,124,Suburban,D,High,1,14731,DC_Central
174,174,East,MA,Supercenter,142,Rural,C,Low,1,13791,DC_North
175,175,Midwest,IN,Supercenter,130,Suburban,C,Mid,1,23822,DC_West
176,176,Midwest,IN,Discount Store,114,Rural,E,Mid,0,16783,DC_South
177,177,East,NY,Supercenter,106,Suburban,B,Low,1,21621,DC_East
178,178,South,FL,Supercenter,103,Rural,C,High,1,24019,DC_South
179,179,South,FL,Discount Store,116,Rural,E,Mid,0,10720,DC_West
180,180,South,NC,Neighborhood Market,107,Rural,D,High,0,16905,DC_Central
181,181,East,DE,Neighborhood Market,114,Urban,E,Low,1,17127,DC_Central
182,182,Midwest,MO,Supercenter,109,Rural,C,Mid,1,24385,DC_Central
183,183,South,FL,Supercenter,115,Urban,D,Mid,1,14368,DC_East
184,184,South,MS,Supercenter,121,Suburban,E,High,1,22056,DC_North
185,185,South,TX,Discount Store,135,Rural,A,Mid,0,20236,DC_North
186,186,South,TX,Supercenter,102,Suburban,D,Mid,1,22451,DC_South
187,187,Midwest,OH,Supercenter,127,Suburban,A,Mid,1,18433,DC_East
188,188,Midwest,MN,Supercenter,102,Rural,B,Mid,1,23525,DC_Central
189,189,West,CA,Neighborhood Market,135,Urban,D,Low,1,8089,DC_Central
190,190,South,AL,Supercenter,118,Rural,A,Mid,1,18361,DC_West
191,191,South,TN,Supercenter,114,Suburban,C,High,1,24369,DC_West
192,192,Midwest,WI,Supercenter,120,Suburban,C,Mid,1,11041,DC_Central
193,193,East,NJ,Supercenter,118,Rural,B,Low,1,8105,DC_Central
194,194,Midwest,OH,Supercenter,110,Urban,D,Mid,1,17078,DC_East
195,195,East,NJ,Supercenter,125,Urban,D,Low,1,14090,DC_North
196,196,South,FL,Supercenter,102,Suburban,D,Mid,1,14082,DC_West
197,197,Midwest,MN,Supercenter,125,Suburban,B,Mid,1,9925,DC_North
198,198,South,AR,Supercenter,133,Urban,D,Mid,1,14917,DC_East
199,199,South,TN,Supercenter,136,Rural,C,High,1,8552,DC_Central
200,200,South,AL,Supercenter,131,Suburban,A,High,1,11911,DC_North
201,201,South,AL,Supercenter,114,Urban,C,High,1,11389,DC_Central
202,202,Midwest,IL,Supercenter,101,Suburban,C,Mid,1,21629,DC_Central
203,203,South,AR,Supercenter,146,Rural,A,Mid,1,10430,DC_South
204,204,Midwest,NE,Supercenter,116,Urban,C,Mid,1,8458,DC_North
205,205,West,AZ,Supercenter,146,Suburban,B,Low,1,21395,DC_North
206,206,South,AR,Discount Store,103,Rural,A,High,0,8207,DC_Central
207,207,South,TX,Supercenter,135,Suburban,C,Mid,1,8899,DC_East
208,208,East,PA,Neighborhood Market,141,Rural,E,Low,1,19653,DC_South
209,209,South,AR,Supercenter,106,Rural,C,High,1,24405,DC_Central
210,210,South,TN,Supercenter,125,Urban,B,High,1,16601,DC_West
211,211,South,AR,Neighborhood Market,113,Rural,D,Mid,1,8894,DC_West
212,212,South,LA,Supercenter,134,Suburban,C,High,1,8514,DC_South
213,213,West,AZ,Supercenter,108,Rural,D,Low,1,12109,DC_East
214,214,East,MA,Supercenter,121,Rural,E,Low,1,21258,DC_Central
215,215,Midwest,MI,Supercenter,134,Urban,C,Mid,1,23313,DC_North
216,216,East,NY,Discount Store,104,Rural,A,Low,0,23349,DC_South
217,217,East,MA,Neighborhood Market,125,Rural,D,Low,1,15179,DC_East
218,218,South,GA,Discount Store,115,Suburban,E,High,0,18326,DC_North
219,219,West,AZ,Supercenter,104,Urban,A,Low,1,19787,DC_West
220,220,Midwest,NE,Supercenter,145,Urban,A,Mid,1,9560,DC_West
221,221,East,NY,Discount Store,112,Urban,A,Low,0,21612,DC_North
222,222,West,UT,Supercenter,132,Rural,A,Low,1,12780,DC_South
223,223,South,TX,Supercenter,132,Urban,C,Mid,1,19894,DC_West
224,224,South,SC,Supercenter,128,Rural,C,High,1,10356,DC_Central
225,225,South,GA,Supercenter,113,Rural,C,High,1,12790,DC_North
226,226,South,AR,Neighborhood Market,131,Suburban,E,Mid,1,24690,DC_North
227,227,East,DE,Supercenter,114,Suburban,E,Low,1,18181,DC_West
228,228,East,NJ,Neighborhood Market,120,Suburban,E,Low,1,15057,DC_South
229,229,South,OK,Supercenter,118,Suburban,B,High,1,24082,DC_Central
230,230,Midwest,OH,Supercenter,129,Suburban,E,Mid,1,8661,DC_South
231,231,South,TN,Supercenter,106,Rural,C,Mid,1,12644,DC_East
232,232,South,AL,Neighborhood Market,132,Rural,C,High,1,23711,DC_East
233,233,South,TN,Supercenter,129,Urban,B,High,1,10920,DC_West
234,234,South,GA,Supercenter,143,Rural,B,Mid,1,24002,DC_West
235,235,West,UT,Supercenter,102,Rural,E,Low,1,22025,DC_West
236,236,South,TN,Neighborhood Market,123,Suburban,D,Mid,0,16946,DC_East
237,237,Midwest,KS,Supercenter,119,Rural,B,Mid,1,20732,DC_South
238,238,Midwest,WI,Neighborhood Market,131,Suburban,A,Mid,1,14236,DC_South
239,239,South,FL,Supercenter,105,Urban,C,Mid,1,24309,DC_West
240,240,Mountain,WY,Supercenter,119,Urban,A,Low,1,21518,DC_Central
241,241,Mountain,SD,Supercenter,134,Rural,C,Low,1,8352,DC_South
242,242,South,LA,Supercenter,110,Urban,C,Mid,1,15005,DC_East
243,243,South,NC,Supercenter,125,Rural,B,Mid,1,22036,DC_North
244,244,South,GA,Supercenter,102,Urban,B,Mid,1,24542,DC_North
245,245,South,NC,Supercenter,111,Suburban,A,Mid,1,8956,DC_North
246,246,South,LA,Neighborhood Market,150,Suburban,C,High,0,10071,DC_Central
247,247,Midwest,IL,Supercenter,131,Suburban,A,Mid,1,16595,DC_West
248,248,Midwest,OH,Supercenter,115,Suburban,D,Mid,1,23140,DC_East
249,249,South,SC,Discount Store,109,Rural,A,High,0,20803,DC_Central
250,250,South,AL,Supercenter,123,Urban,E,Mid,1,11453,DC_East
251,251,West,AZ,Supercenter,119,Rural,A,Low,1,14675,DC_East
252,252,South,OK,Discount Store,109,Suburban,E,High,0,8955,DC_West
253,253,South,TN,Supercenter,135,Rural,E,High,1,14295,DC_North
254,254,South,SC,Supercenter,121,Urban,E,Mid,1,23921,DC_West
255,255,Mountain,NM,Supercenter,109,Rural,D,Low,1,23282,DC_Central
256,256,South,NC,Neighborhood Market,128,Urban,A,High,1,12703,DC_Central
257,257,Midwest,KS,Supercenter,146,Rural,A,Mid,1,14563,DC_Central
258,258,East,MA,Supercenter,107,Urban,D,Low,1,20003,DC_West
259,259,South,GA,Neighborhood Market,116,Urban,C,High,0,18817,DC_East
260,260,Midwest,MN,Neighborhood Market,116,Suburban,B,Mid,1,19171,DC_East
261,261,South,OK,Supercenter,133,Urban,A,Mid,1,20582,DC_South
262,262,Midwest,NE,Supercenter,104,Suburban,B,Mid,1,20201,DC_Central
263,263,Midwest,IA,Supercenter,104,Suburban,D,Mid,1,20473,DC_East
264,264,Midwest,MI,Supercenter,139,Suburban,C,Mid,1,17461,DC_South
265,265,South,LA,Supercenter,140,Rural,C,High,1,23596,DC_East
266,266,East,MD,Supercenter,117,Rural,C,Low,1,8529,DC_Central
267,267,South,FL,Neighborhood Market,137,Rural,D,Mid,1,20765,DC_North
268,268,South,GA,Neighborhood Market,139,Rural,E,High,0,21910,DC_Central
269,269,South,MS,Supercenter,129,Urban,E,High,1,19561,DC_West
270,270,Midwest,MI,Neighborhood Market,136,Urban,B,Mid,1,17131,DC_East
271,271,Midwest,IA,Supercenter,138,Rural,E,Mid,1,8525,DC_East
272,272,South,TX,Neighborhood Market,139,Urban,E,High,1,24385,DC_West
273,273,Midwest,OH,Supercenter,150,Urban,C,Mid,1,8374,DC_West
274,274,South,TX,Supercenter,137,Suburban,C,High,1,20197,DC_North
275,275,Midwest,IA,Neighborhood Market,135,Suburban,B,Mid,1,12648,DC_East
276,276,South,AL,Supercenter,107,Suburban,A,High,1,10365,DC_East
277,277,Midwest,IN,Supercenter,127,Suburban,B,Mid,1,9646,DC_North
278,278,South,FL,Supercenter,128,Urban,B,Mid,1,8013,DC_South
279,279,West,CA,Supercenter,122,Rural,D,Low,1,12599,DC_North
280,280,South,NC,Supercenter,114,Urban,D,High,1,10278,DC_Central
281,281,South,OK,Supercenter,107,Urban,B,Mid,1,22296,DC_East
282,282,South,SC,Supercenter,137,Urban,B,High,1,11155,DC_West
283,283,West,NV,Supercenter,122,Suburban,B,Low,1,16321,DC_Central
284,284,West,NV,Supercenter,105,Suburban,E,Low,1,11814,DC_East
285,285,South,AL,Supercenter,102,Suburban,D,Mid,1,21125,DC_North
286,286,Midwest,MO,Discount Store,127,Rural,B,Mid,0,11216,DC_Central
287,287,East,CT,Supercenter,121,Urban,C,Low,1,10113,DC_East
288,288,Midwest,MO,Supercenter,138,Rural,C,Mid,1,18238,DC_South
289,289,Midwest,IN,Supercenter,115,Suburban,E,Mid,1,21760,DC_South
290,290,South,SC,Discount Store,121,Rural,E,High,0,20588,DC_West
291,291,South,FL,Supercenter,110,Urban,A,High,1,11374,DC_East
292,292,West,WA,Supercenter,123,Urban,A,Low,1,14430,DC_South
293,293,West,OR,Supercenter,139,Suburban,A,Low,1,19970,DC_North
294,294,Midwest,IL,Supercenter,105,Suburban,E,Mid,1,8629,DC_East
295,295,South,LA,Supercenter,101,Rural,E,Mid,1,24653,DC_North
296,296,South,FL,Neighborhood Market,113,Suburban,E,Mid,0,18831,DC_North
297,297,Midwest,KS,Discount Store,121,Suburban,C,Mid,0,13724,DC_South
298,298,West,CA,Supercenter,126,Urban,E,Low,1,19083,DC_East
299,299,West,NV,Supercenter,150,Suburban,C,Low,1,21149,DC_Central
300,300,East,DE,Discount Store,145,Suburban,A,Low,0,17472,DC_South
301,301,Midwest,MN,Supercenter,121,Urban,A,Mid,1,14276,DC_South
302,302,South,LA,Supercenter,118,Urban,A,High,1,23635,DC_East
303,303,South,SC,Supercenter,137,Rural,B,High,1,13895,DC_East
304,304,West,OR,Supercenter,145,Suburban,B,Low,1,21994,DC_North
305,305,Midwest,KS,Supercenter,132,Urban,D,Mid,1,18552,DC_East
306,306,South,LA,Supercenter,136,Rural,D,High,1,24959,DC_North
307,307,South,TX,Discount Store,117,Rural,D,High,0,14099,DC_South
308,308,Midwest,KS,Discount Store,135,Suburban,B,Mid,0,17499,DC_West
309,309,South,LA,Supercenter,149,Suburban,B,High,1,11178,DC_Central
310,310,South,AL,Supercenter,111,Rural,D,High,1,14116,DC_South
311,311,Midwest,MI,Discount Store,121,Urban,D,Mid,0,23563,DC_East
312,312,Midwest,NE,Neighborhood Market,126,Rural,E,Mid,1,11568,DC_Central
313,313,Midwest,IA,Supercenter,104,Suburban,D,Mid,1,17847,DC_West
314,314,South,OK,Discount Store,134,Urban,E,High,0,22135,DC_West
315,315,Midwest,NE,Neighborhood Market,148,Urban,C,Mid,0,9742,DC_North
316,316,South,AL,Supercenter,118,Rural,B,High,1,8619,DC_Central
317,317,South,OK,Supercenter,140,Suburban,D,Mid,1,9939,DC_North
318,318,Midwest,KS,Supercenter,135,Rural,B,Mid,1,24001,DC_South
319,319,Midwest,WI,Supercenter,141,Rural,B,Mid,1,8968,DC_Central
320,320,East,MD,Supercenter,129,Rural,B,Low,1,22846,DC_South
321,321,Midwest,MO,Neighborhood Market,129,Urban,C,Mid,1,8281,DC_North
322,322,Midwest,IA,Supercenter,138,Urban,A,Mid,1,23360,DC_Central
323,323,South,SC,Supercenter,142,Suburban,D,High,1,14262,DC_North
324,324,South,FL,Supercenter,121,Suburban,A,Mid,1,9058,DC_Central
325,325,South,LA,Supercenter,142,Rural,A,Mid,1,18724,DC_North
326,326,South,GA,Discount Store,113,Rural,A,High,0,13178,DC_West
327,327,Mountain,WY,Supercenter,149,Rural,B,Low,1,14980,DC_North
328,328,South,TX,Supercenter,141,Suburban,E,Mid,1,17200,DC_West
329,329,West,UT,Supercenter,117,Urban,B,Low,1,9229,DC_North
330,330,Midwest,IN,Supercenter,109,Urban,B,Mid,1,16467,DC_Central
331,331,East,MD,Supercenter,141,Rural,A,Low,1,10289,DC_Central
332,332,Midwest,OH,Supercenter,101,Rural,B,Mid,1,9239,DC_Central
333,333,Midwest,MN,Supercenter,102,Rural,A,Mid,1,13370,DC_East
334,334,South,AL,Supercenter,148,Rural,E,Mid,1,24170,DC_South
335,335,South,FL,Supercenter,129,Suburban,D,High,1,8125,DC_Central
336,336,Midwest,MI,Supercenter,133,Urban,A,Mid,1,20504,DC_West
337,337,South,TN,Discount Store,110,Rural,E,Mid,0,23398,DC_Central
338,338,South,LA,Supercenter,150,Suburban,D,High,1,14638,DC_East
339,339,Midwest,KS,Supercenter,140,Rural,C,Mid,1,14570,DC_West
340,340,South,GA,Supercenter,121,Rural,A,High,1,11249,DC_East
341,341,West,CO,Supercenter,128,Urban,A,Low,1,17110,DC_West
342,342,West,CA,Supercenter,111,Rural,C,Low,1,15595,DC_North
343,343,West,NV,Supercenter,134,Urban,C,Low,1,21605,DC_South
344,344,South,TN,Discount Store,108,Urban,A,Mid,0,20115,DC_South
345,345,South,TN,Supercenter,122,Urban,C,High,1,14294,DC_East
346,346,West,WA,Supercenter,108,Suburban,B,Low,1,13757,DC_South
347,347,South,TX,Supercenter,149,Suburban,D,Mid,1,20595,DC_East
348,348,Mountain,ND,Discount Store,115,Urban,D,Low,0,9969,DC_East
349,349,Mountain,ID,Supercenter,117,Rural,D,Low,1,18985,DC_East
350,350,East,MD,Supercenter,123,Urban,B,Low,1,12470,DC_South
351,351,South,AR,Supercenter,124,Rural,C,Mid,1,18225,DC_East
352,352,South,FL,Supercenter,145,Urban,E,Mid,1,17556,DC_South
353,353,East,VA,Supercenter,119,Rural,C,Low,1,17206,DC_East
354,354,South,FL,Neighborhood Market,105,Suburban,A,Mid,0,17991,DC_Central
355,355,South,LA,Supercenter,132,Rural,D,High,1,15519,DC_East
356,356,Midwest,MI,Supercenter,144,Urban,C,Mid,1,21669,DC_West
357,357,West,UT,Supercenter,101,Suburban,E,Low,1,12612,DC_East
358,358,Midwest,NE,Supercenter,123,Rural,A,Mid,1,20373,DC_North
359,359,Midwest,IA,Supercenter,137,Rural,B,Mid,1,23552,DC_East
360,360,South,AL,Supercenter,108,Rural,B,High,1,22646,DC_West
361,361,Midwest,NE,Neighborhood Market,113,Rural,E,Mid,1,13238,DC_West
362,362,Mountain,ID,Supercenter,108,Rural,A,Low,1,23577,DC_South
363,363,South,SC,Supercenter,123,Suburban,D,High,1,23504,DC_Central
364,364,Midwest,MN,Supercenter,143,Suburban,C,Mid,1,11719,DC_East
365,365,West,CA,Supercenter,101,Suburban,A,Low,1,8302,DC_South
366,366,Midwest,IN,Supercenter,145,Suburban,B,Mid,1,20144,DC_Central
367,367,Midwest,IL,Supercenter,124,Urban,E,Mid,1,18055,DC_East
368,368,Midwest,WI,Supercenter,135,Suburban,E,Mid,1,12440,DC_North
369,369,South,NC,Neighborhood Market,124,Rural,C,Mid,0,11072,DC_East
370,370,South,AR,Discount Store,117,Rural,E,Mid,0,21598,DC_West
371,371,East,PA,Supercenter,105,Suburban,E,Low,1,22287,DC_West
372,372,East,DE,Supercenter,120,Rural,A,Low,1,21965,DC_North
373,373,East,MA,Supercenter,121,Suburban,D,Low,1,17519,DC_South
374,374,West,WA,Supercenter,140,Rural,C,Low,1,21380,DC_Central
375,375,Midwest,MN,Supercenter,131,Urban,A,Mid,1,19865,DC_East
376,376,Midwest,IN,Supercenter,146,Urban,D,Mid,1,16125,DC_West
377,377,East,CT,Supercenter,136,Suburban,A,Low,1,11291,DC_South
378,378,Midwest,IN,Supercenter,111,Suburban,A,Mid,1,12033,DC_North
379,379,Midwest,IN,Supercenter,115,Suburban,E,Mid,1,13105,DC_West
380,380,East,PA,Supercenter,119,Rural,D,Low,1,16133,DC_North
381,381,West,CA,Supercenter,107,Suburban,C,Low,1,24958,DC_East
382,382,South,FL,Supercenter,128,Urban,C,Mid,1,13704,DC_Central
383,383,South,FL,Supercenter,143,Rural,D,Mid,1,15848,DC_West
384,384,South,AL,Supercenter,105,Suburban,E,High,1,20975,DC_West
385,385,Midwest,IL,Neighborhood Market,105,Rural,B,Mid,1,14924,DC_East
386,386,South,TX,Supercenter,130,Rural,A,High,1,8488,DC_South
387,387,South,TX,Supercenter,132,Suburban,E,Mid,1,15114,DC_Central
388,388,Midwest,MN,Supercenter,108,Rural,D,Mid,1,23740,DC_West
389,389,South,MS,Supercenter,110,Urban,A,Mid,1,11173,DC_Central
390,390,Midwest,IL,Supercenter,138,Urban,C,Mid,1,9667,DC_West
391,391,South,SC,Supercenter,147,Rural,B,High,1,12114,DC_Central
392,392,South,AR,Neighborhood Market,132,Suburban,C,High,0,11553,DC_North
393,393,East,CT,Neighborhood Market,148,Rural,D,Low,1,15761,DC_West
394,394,South,OK,Supercenter,128,Urban,A,Mid,1,9000,DC_Central
395,395,South,AL,Supercenter,117,Rural,D,High,1,23638,DC_South
396,396,Midwest,IN,Supercenter,131,Rural,A,Mid,1,13450,DC_North
397,397,East,MD,Supercenter,108,Urban,E,Low,1,11712,DC_North
398,398,South,NC,Neighborhood Market,140,Rural,B,High,0,9367,DC_South
399,399,Midwest,IN,Supercenter,125,Rural,E,Mid,1,16189,DC_Central
400,400,South,AR,Supercenter,109,Suburban,E,High,1,17013,DC_East
401,401,South,AR,Supercenter,102,Suburban,D,High,1,24838,DC_South
402,402,Midwest,IA,Supercenter,115,Urban,B,Mid,1,11726,DC_Central
403,403,Midwest,NE,Supercenter,150,Urban,A,Mid,1,12806,DC_South
404,404,Midwest,IL,Supercenter,103,Urban,A,Mid,1,10190,DC_South
405,405,Midwest,IN,Supercenter,149,Suburban,C,Mid,1,17108,DC_West
406,406,Mountain,WY,Neighborhood Market,136,Urban,A,Low,0,20178,DC_Central
407,407,Midwest,WI,Neighborhood Market,104,Urban,D,Mid,1,10875,DC_East
408,408,South,NC,Supercenter,114,Urban,E,Mid,1,13592,DC_West
409,409,East,NJ,Supercenter,141,Suburban,E,Low,1,20592,DC_South
410,410,South,TX,Supercenter,141,Rural,E,Mid,1,16927,DC_South
411,411,South,TN,Supercenter,125,Urban,B,Mid,1,22437,DC_South
412,412,South,TX,Supercenter,150,Rural,A,High,1,19530,DC_Central
413,413,South,TN,Supercenter,110,Urban,D,High,1,15010,DC_Central
414,414,Mountain,ND,Supercenter,121,Rural,B,Low,1,19207,DC_West
415,415,East,NY,Supercenter,136,Suburban,C,Low,1,10989,DC_East
416,416,Midwest,MI,Supercenter,112,Suburban,D,Mid,1,20040,DC_West
417,417,South,AL,Supercenter,127,Urban,D,Mid,1,17218,DC_North
418,418,South,LA,Discount Store,140,Rural,D,High,0,14471,DC_South
419,419,South,GA,Neighborhood Market,102,Suburban,E,High,1,10863,DC_South
420,420,South,LA,Supercenter,113,Urban,D,Mid,1,18693,DC_South
421,421,Midwest,KS,Neighborhood Market,132,Urban,A,Mid,0,9177,DC_West
422,422,Midwest,NE,Supercenter,131,Suburban,D,Mid,1,12760,DC_West
423,423,Midwest,MI,Neighborhood Market,116,Suburban,E,Mid,0,8011,DC_South
424,424,South,FL,Neighborhood Market,132,Urban,D,Mid,1,24353,DC_West
425,425,West,AZ,Supercenter,132,Rural,C,Low,1,19556,DC_Central
426,426,Midwest,IN,Supercenter,134,Rural,C,Mid,1,19563,DC_Central
427,427,Midwest,MO,Supercenter,111,Rural,E,Mid,1,22051,DC_West
428,428,Midwest,MI,Supercenter,110,Urban,A,Mid,1,19022,DC_South
429,429,South,FL,Supercenter,115,Suburban,A,Mid,1,16234,DC_West
430,430,South,AL,Supercenter,117,Urban,B,High,1,24173,DC_West
431,431,South,MS,Supercenter,140,Suburban,E,Mid,1,21178,DC_West
432,432,East,CT,Neighborhood Market,118,Rural,D,Low,1,14570,DC_North
433,433,South,AL,Discount Store,109,Rural,E,High,0,8406,DC_Central
434,434,South,TX,Supercenter,125,Suburban,B,High,1,17206,DC_East
435,435,South,AR,Supercenter,140,Suburban,E,High,1,12431,DC_East
436,436,South,GA,Supercenter,114,Urban,E,High,1,14542,DC_North
437,437,East,CT,Supercenter,125,Rural,B,Low,1,16906,DC_West
438,438,Midwest,NE,Discount Store,150,Urban,A,Mid,0,12146,DC_North
439,439,South,NC,Supercenter,122,Urban,D,Mid,1,20046,DC_North
440,440,South,SC,Supercenter,130,Urban,B,High,1,20611,DC_South
441,441,South,TX,Supercenter,120,Rural,C,Mid,1,21076,DC_Central
442,442,South,TX,Supercenter,121,Urban,A,Mid,1,24524,DC_East
443,443,South,AR,Supercenter,144,Urban,C,High,1,12882,DC_West
444,444,South,SC,Neighborhood Market,132,Urban,A,Mid,1,22113,DC_East
445,445,South,FL,Supercenter,146,Urban,D,Mid,1,21645,DC_East
446,446,Midwest,WI,Supercenter,149,Urban,D,Mid,1,14012,DC_Central
447,447,Midwest,MO,Supercenter,121,Urban,E,Mid,1,15151,DC_East
448,448,South,NC,Discount Store,135,Rural,C,High,0,11610,DC_East
449,449,South,FL,Neighborhood Market,132,Urban,A,Mid,0,17884,DC_North
450,450,Midwest,MN,Supercenter,130,Suburban,D,Mid,1,14894,DC_Central
451,451,Midwest,IL,Supercenter,139,Urban,B,Mid,1,21467,DC_South
452,452,East,PA,Supercenter,149,Urban,D,Low,1,24489,DC_West
453,453,Midwest,MO,Supercenter,112,Rural,B,Mid,1,17873,DC_East
454,454,South,OK,Discount Store,141,Rural,A,High,0,20289,DC_West
455,455,South,MS,Supercenter,147,Suburban,D,High,1,20208,DC_South
456,456,Midwest,IN,Supercenter,118,Suburban,D,Mid,1,18828,DC_West
457,457,South,TN,Supercenter,121,Rural,A,High,1,10137,DC_South
458,458,Midwest,NE,Supercenter,113,Rural,D,Mid,1,9286,DC_North
459,459,West,CO,Supercenter,121,Urban,B,Low,1,23710,DC_East
460,460,Midwest,KS,Supercenter,108,Rural,D,Mid,1,19371,DC_South
461,461,South,TX,Supercenter,146,Suburban,C,Mid,1,23945,DC_West
462,462,Midwest,OH,Supercenter,140,Urban,E,Mid,1,15052,DC_East
463,463,South,TN,Supercenter,146,Suburban,B,Mid,1,11654,DC_North
